MonthYear,Volume,Percent Answered within 20 secs,Percent Abandoned,Goal,Setup Time (Sec),Queue (Secs),Ring(sec),Total Average (Secs),National Goal (secs),COM Goal (secs),Month Order,Month,Year,Volume YTD,Volume YTD Change,Volume Month YOY Change,Total Time YOY Change
01/01/2015 12:00:00 AM,67391,53.7,29.1,0.95,,35.3,4.3,39.60,10,20,1,January,2015,67391,,,
02/01/2015 12:00:00 AM,61075,56.7,27.7,0.95,,29.4,4.3,33.70,10,20,2,February,2015,128466,,,
03/01/2015 12:00:00 AM,75868,49.6,30.8,0.95,,49.9,4.1,54.00,10,20,3,March,2015,204334,,,
04/01/2015 12:00:00 AM,80804,40.6,32.3,0.95,,49.7,3.8,53.50,10,20,4,April,2015,285138,,,
05/01/2015 12:00:00 AM,88855,35.6,36.1,0.95,,65.9,3.5,69.40,10,20,5,May,2015,373993,,,
06/01/2015 12:00:00 AM,85945,61.6,39.4,0.95,,52,3.5,55.50,10,20,6,June,2015,459938,,,
07/01/2015 12:00:00 AM,77525,33.5,39.6,0.95,,95,3.5,98.50,10,20,7,July,2015,537463,,,
08/01/2015 12:00:00 AM,90701,37.2,36.2,0.95,,76.3,3.6,79.90,10,20,8,August,2015,628164,,,
09/01/2015 12:00:00 AM,84897,48.4,45.1,0.95,,45.5,3.8,49.30,10,20,9,September,2015,713061,,,
10/01/2015 12:00:00 AM,80515,47.6,31.7,0.95,,54.7,4,58.70,10,20,10,October,2015,793576,,,
11/01/2015 12:00:00 AM,65747,49.5,26.3,0.95,,42.8,4.2,47.00,10,20,11,November,2015,859323,,,
12/01/2015 12:00:00 AM,65111,53.2,35.4,0.95,,51.3,8.4,59.70,10,20,12,December,2015,924434,,,
01/01/2016 12:00:00 AM,66474,61.4,32.5,0.95,,24.96,9.14,34.10,10,20,1,January,2016,66474,-1.360715823,-1.360715823,-13.88888889
02/01/2016 12:00:00 AM,62410,65.6,27.8,0.95,,23.29,8.24,31.53,10,20,2,February,2016,128884,0.325377921,2.185837086,-6.439169139
03/01/2016 12:00:00 AM,69989,68.2,27.1,0.95,,19.82,7.97,27.79,10,20,3,March,2016,198873,-2.672585081,-7.748985079,-48.53703704
04/01/2016 12:00:00 AM,71216,61.5,29.4,0.95,,26.31,8.33,34.64,10,20,4,April,2016,270089,-5.277795313,-11.86574922,-35.25233645
05/01/2016 12:00:00 AM,72708,60.2,30.4,0.95,,28.11,8.37,36.48,10,20,5,May,2016,342797,-8.341332592,-18.17230319,-47.4351585
06/01/2016 12:00:00 AM,75193,56.6,38.8,0.95,,23.98,15.38,39.36,10,20,6,June,2016,417990,-9.120359701,-12.51032637,-29.08108108
07/01/2016 12:00:00 AM,77635,56.6,33.7,0.95,,24.75,15.14,39.89,10,20,7,July,2016,495625,-7.784349806,0.141889713,-59.50253807
08/01/2016 12:00:00 AM,73708,58.7,31.2,0.95,,22.11,13.66,35.77,10,20,8,August,2016,569333,-9.365547851,-18.73518484,-55.23153942
09/01/2016 12:00:00 AM,67821,63.4,28,0.95,,24.26,8.2,32.46,10,20,9,September,2016,637154,-10.64523232,-20.11378494,-34.15821501
10/01/2016 12:00:00 AM,66466,68.6,24.4,0.95,,18.66,7.57,26.23,10,20,10,October,2016,703620,-11.33552426,-17.44892256,-55.31516184
